id,title,genres,overview,rating,year
57,The Revenant,Adventure Drama Thriller,A frontiersman on a fur trading expedition fights for survival after being mauled by a bear.,8.0,2015
58,Mad Max Fury Road,Action Sci-Fi,In a post-apocalyptic world a woman rebels against a tyrannical ruler in the wasteland.,8.1,2015
59,John Wick,Action Thriller,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog.,7.4,2014
60,Dune,Sci-Fi Adventure Drama,A mythic and emotionally charged hero's journey follows a noble family to a dangerous desert planet.,8.0,2021
61,No Country for Old Men,Crime Drama Thriller,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong.,8.1,2007
62,There Will Be Blood,Drama History,A story of family religion hatred and oil told through the life of a prospector in late 1800s.,8.2,2007
63,Eternal Sunshine of the Spotless Mind,Romance Drama Sci-Fi,When their relationship turns sour a couple undergoes a medical procedure to erase memories of each other.,8.3,2004
64,Her,Romance Drama Sci-Fi,A writer develops an unlikely relationship with an operating system designed to meet his every need.,8.0,2013
65,Lost in Translation,Drama Romance Comedy,A faded movie star and a neglected young woman form an unlikely bond in Tokyo.,7.7,2003
66,The Social Network,Drama Biography,Harvard student Mark Zuckerberg creates Facebook while being sued by others who claim ownership.,7.7,2010
67,Whiplash,Drama Music,A brilliant music student is pushed to his limits by a ruthless instructor at a prestigious conservatory.,8.5,2014
68,1917,War Drama,Two British soldiers are tasked with delivering a message that could save 1600 men.,8.3,2019
69,Dunkirk,War Drama Thriller,Allied soldiers from Belgium and Britain are surrounded by the German Army during the Second World War.,7.9,2017
70,Arrival,Sci-Fi Drama Mystery,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft land worldwide.,7.9,2016
71,Ex Machina,Sci-Fi Drama Thriller,A programmer is selected to participate in a study involving an artificial intelligence housed in a robot.,7.7,2014
72,The Martian,Sci-Fi Drama Comedy,An astronaut becomes stranded on Mars after his team assumes him dead and must find a way to signal Earth.,8.0,2015
73,Gravity,Sci-Fi Thriller Drama,Two astronauts work together to survive after an accident leaves them stranded in space.,7.7,2013
74,The Imitation Game,Drama Biography Thriller,Based on Alan Turing's race against the Nazi Enigma machine during World War II.,8.0,2014
75,Spotlight,Drama Biography,The story of the Boston Globe's Pulitzer Prize-winning investigation into the Catholic Church sex abuse scandal.,8.1,2015
76,12 Years a Slave,Drama History Biography,In the antebellum United States a free black man is kidnapped and sold into slavery.,8.1,2013
77,Moonlight,Drama,A young black man grapples with his identity and sexuality while experiencing the hardships of life in Baltimore.,7.4,2016
78,The Shape of Water,Romance Fantasy Drama,At a government lab a mute janitor falls in love with a captured humanoid amphibian creature.,7.3,2017
79,Green Book,Drama Comedy Biography,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of the Deep South.,8.2,2018
80,Joker,Crime Drama Thriller,A failed stand-up comedian is driven insane and turns to a life of crime in Gotham City.,8.4,2019
81,Marriage Story,Drama Romance,A stage director and an actress struggle through a coast-to-coast divorce.,7.9,2019
82,Midsommar,Horror Drama Mystery,A couple travel to Sweden to visit a rural hometown festival that slowly reveals its terrifying agenda.,7.1,2019
83,Us,Horror Thriller,A family on vacation is attacked by a group of mysterious doppelgangers who look exactly like them.,6.8,2019
84,Little Women,Drama Romance,Jo March reflects on her life with her three sisters growing up in New England during the Civil War era.,7.8,2019
85,Parasite,Thriller Drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Parks and the destitute Kims.,8.6,2019
86,Tenet,Action Sci-Fi Thriller,Armed with only one word a CIA operative embarks on a dangerous time-bending mission to prevent World War III.,7.3,2020
87,Soul,Animation Drama Comedy,A musician who has lost his passion for life is transported to the Great Before.,8.1,2020
88,Nomadland,Drama,A woman journeys through the American West after losing everything in the Great Recession.,7.4,2020
89,The Father,Drama,A man refuses all assistance from his daughter as he ages and begins to lose his grip on reality.,8.2,2020
90,Minari,Drama,A Korean family moves to rural Arkansas in search of the American Dream in the 1980s.,7.5,2020
91,Promising Young Woman,Crime Drama Thriller,A young woman haunted by a tragedy from the past takes matters into her own hands on behalf of victims.,7.5,2020
92,Sound of Metal,Drama Music,A heavy-metal drummer's life is turned upside down when he begins to lose his hearing.,7.8,2019
93,News of the World,Western Drama Adventure,A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle.,7.2,2020
94,Ma Raineys Black Bottom,Drama Music,Tensions rise between blues legend Ma Rainey and her ambitious trumpet player during a recording session in 1920s Chicago.,7.5,2020
95,The Trial of the Chicago 7,Drama History Thriller,The story of 7 defendants charged by the federal government with conspiracy during the 1968 Democratic National Convention.,7.8,2020
96,Judas and the Black Messiah,Drama History Biography,The story of Fred Hampton the leader of the Black Panther Party who was killed at age 21.,7.5,2021
97,The Suicide Squad,Action Comedy Sci-Fi,Supervillains are assembled to destroy a powerful alien entity and a mysterious prison known as the Jotunheim.,7.2,2021
98,Shang-Chi and the Legend of the Ten Rings,Action Fantasy Adventure,Shang-Chi must confront the past he thought he left behind when he is drawn into the Ten Rings organization.,7.4,2021
99,Eternals,Action Sci-Fi Fantasy,The Eternals an alien race who have been living on Earth in secret for thousands of years reunite to protect humanity.,6.3,2021
100,The Power of the Dog,Drama Western Thriller,A domineering rancher comes in conflict with his brother's new wife and her son.,6.9,2021
